bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1385576,1791,AB1,2,Engrossed,2021-05-27,"Lead-Acid Battery Recycling Act of 2016: dealer notice: California battery fee.","An act to amend Section 25215.2 of the Health and Safety Code, relating to hazardous waste.",0,,2022-06-23,"Ordered to inactive file at the request of Senator Durazo.",https://legiscan.com/CA/bill/AB1/2021,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB1
1385592,1791,AB2,6,Failed,2022-02-01,"Regulations: legislative review: regulatory reform.","An act to amend Sections 11343.4 and 11349.3 of, and to add and repeal Chapter 3.6 (commencing with Section 11366) of Part 1 of Division 3 of Title 2 of, the Government Code, relating to state government.",0,,2022-02-01,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB2/2021,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB2
1385588,1791,AB3,4,Passed,2021-10-07,"Exhibition of speed on a highway: punishment.","An act to amend Sections 13352 and 23109 of the Vehicle Code, relating to vehicles.",0,,2021-10-07,"Chaptered by Secretary of State - Chapter 611, Statutes of 2021.",https://legiscan.com/CA/bill/AB3/2021,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB3
1385528,1791,AB4,2,Engrossed,2021-06-01,"Medi-Cal: eligibility.","An act to amend Section 14007.8 of the Welfare and Institutions Code, relating to Medi-Cal.",0,,2022-08-11,"In committee: Held under submission.",https://legiscan.com/CA/bill/AB4/2021,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB4
1385411,1791,AB5,6,Failed,2022-02-01,"Greenhouse Gas Reduction Fund: High-Speed Rail Authority: K–12 education: transfer.","An act to amend Section 39719 of the Health and Safety Code, relating to the Greenhouse Gas Reduction Fund.",0,,2022-02-01,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB5/2021,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB5
1385584,1791,AB6,6,Failed,2022-02-01,"Health facilities: pandemics and emergencies: best practices.","An act to add Section 1257.3 to the Health and Safety Code, relating to health facilities.",0,,2022-02-01,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB6/2021,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB6
1385400,1791,AB7,5,Vetoed,2021-10-04,"Emergency ambulance employees: multithreat body protective gear.","An act to add Section 6414 to the Labor Code, relating to emergency ambulance employees.",0,,2022-02-07,"Consideration of Governor's veto stricken from file.",https://legiscan.com/CA/bill/AB7/2021,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB7
1385515,1791,AB8,6,Failed,2022-02-01,"Unemployment benefits: direct deposit.","An act to amend Section 1339.1 of the Unemployment Insurance Code, relating to unemployment insurance, and declaring the urgency thereof, to take effect immediately.",0,,2022-02-01,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB8/2021,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB8
1385399,1791,AB9,4,Passed,2021-09-23,"Fire safety and prevention: wildfires: fire adapted communities: Office of the State Fire Marshal: community wildfire preparedness and mitigation.","An act to amend Sections 8654.4, 51177, 51178, 51178.5, 51179, 51181, 51182, and 65302 of the Government Code, to amend Section 13108.5 of the Health and Safety Code, to amend Sections 702, 4202, 4203, 4204, and 4291 of, to add Section 4124.8 to, to add Articles 11 (commencing with Section 4208) and 12 (commencing with Section 4209) to Chapter 1 of Part 2 of Division 4 of, and to repeal Section 4209.3 of, the Public Resources Code, and to amend Section 8386.3 of the Public Utilities Code, relating to fire safety.",0,,2021-09-23,"Chaptered by Secretary of State - Chapter 225, Statutes of 2021.",https://legiscan.com/CA/bill/AB9/2021,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB9
1385452,1791,AB10,6,Failed,2022-02-01,"Pupil instruction: in-person instruction: distance learning.","An act to amend Sections 43502, 43503, and 43504 of the Education Code, relating to pupil instruction, and declaring the urgency thereof, to take effect immediately.",0,,2022-02-01,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB10/2021,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB10
